"";"X";"Start.Time";"End.Time";"Trip.Duration";"Start.Station";"End.Station";"User.Type";"Gender";"Age";"city"
"1";5688089;"2017-06-11 14:55:05";"2017-06-11 15:08:21";795;"Suffolk St & Stanton St";"W Broadway & Spring St";"Subscriber";"Male";22;"ny"
"2";4096714;"2017-05-11 15:30:11";"2017-05-11 15:41:43";692;"Lexington Ave & E 63 St";"1 Ave & E 78 St";"Subscriber";"Male";39;"ny"
"3";2173887;"2017-03-29 13:26:26";"2017-03-29 13:48:31";1325;"1 Pl & Clinton St";"Henry St & Degraw St";"Subscriber";"Male";33;"ny"
"4";3945638;"2017-05-08 19:47:18";"2017-05-08 19:59:01";703;"Barrow St & Hudson St";"W 20 St & 8 Ave";"Subscriber";"Female";34;"ny"
"5";6208972;"2017-06-21 07:49:16";"2017-06-21 07:54:46";329;"1 Ave & E 44 St";"E 53 St & 3 Ave";"Subscriber";"Male";28;"ny"
"6";1285652;"2017-02-22 18:55:24";"2017-02-22 19:12:03";998;"State St & Smith St";"Bond St & Fulton St";"Subscriber";"Male";34;"ny"
"7";1675753;"2017-03-06 16:22:53";"2017-03-06 16:30:51";478;"Front St & Gold St";"Lafayette Ave & Fort Greene Pl";"Subscriber";"Male";38;"ny"
"8";1692245;"2017-03-07 07:42:24";"2017-03-07 08:49:42";4038;"E 89 St & York Ave";"Broadway & Battery Pl";"Subscriber";"Male";36;"ny"
"9";2271331;"2017-04-02 08:02:36";"2017-04-02 09:28:08";5132;"Central Park S & 6 Ave";"Central Park S & 6 Ave";"Customer";"";NA;"ny"
"10";1558339;"2017-03-01 23:01:31";"2017-03-01 23:06:41";309;"E 3 St & 1 Ave";"E 25 St & 2 Ave";"Subscriber";"Male";28;"ny"
"11";2287178;"2017-04-02 14:37:20";"2017-04-02 14:56:12";1131;"Bank St & Washington St";"Little West St & 1 Pl";"Customer";"";NA;"ny"
"12";2744874;"2017-04-13 13:40:39";"2017-04-13 13:45:59";319;"Front St & Maiden Ln";"Liberty St & Broadway";"Subscriber";"Male";65;"ny"
"13";3398180;"2017-04-27 23:27:31";"2017-04-28 00:05:53";2301;"E 10 St & 5 Ave";"Columbus Ave & W 72 St";"Subscriber";"Male";49;"ny"
"14";991609;"2017-02-13 15:40:53";"2017-02-13 16:00:26";1172;"1 Ave & E 68 St";"E 47 St & Park Ave";"Subscriber";"Male";27;"ny"
"15";1512596;"2017-02-28 19:26:43";"2017-02-28 19:35:21";518;"N 11 St & Wythe Ave";"Bushwick Ave & Powers St";"Subscriber";"Male";37;"ny"
"16";187466;"2017-01-11 11:30:30";"2017-01-11 11:35:15";285;"E 17 St & Broadway";"W 17 St & 8 Ave";"Subscriber";"Male";48;"ny"
"17";2195658;"2017-03-29 20:19:44";"2017-03-29 20:24:07";263;"State St & Smith St";"Johnson St & Gold St";"Subscriber";"Male";38;"ny"
"18";6388534;"2017-06-23 21:21:59";"2017-06-23 21:30:45";525;"E 2 St & Avenue C";"E 11 St & 2 Ave";"Subscriber";"Female";23;"ny"
"19";4733837;"2017-05-24 08:53:32";"2017-05-24 09:04:30";658;"Central Park West & W 76 St";"E 72 St & York Ave";"Subscriber";"Male";41;"ny"
"20";5857;"2017-01-01 13:32:39";"2017-01-01 13:49:57";1038;"W 22 St & 8 Ave";"W 45 St & 6 Ave";"Customer";"";NA;"ny"
"21";1132766;"2017-02-18 13:29:08";"2017-02-18 13:30:31";82;"E 71 St & 1 Ave";"1 Ave & E 68 St";"Subscriber";"Male";37;"ny"
"22";3358474;"2017-04-27 09:44:35";"2017-04-27 09:48:00";204;"University Pl & E 14 St";"Washington Pl & Broadway";"Subscriber";"Male";32;"ny"
"23";1778858;"2017-03-09 11:15:39";"2017-03-09 11:29:03";803;"E 25 St & 2 Ave";"Suffolk St & Stanton St";"Subscriber";"Female";42;"ny"
"24";2497952;"2017-04-08 13:39:48";"2017-04-08 14:04:24";1476;"Dean St & Hoyt St";"Plaza St West & Flatbush Ave";"Customer";"";NA;"ny"
"25";2905932;"2017-04-16 17:36:06";"2017-04-16 18:02:52";1605;"Allen St & Stanton St";"Mott St & Prince St";"Subscriber";"Male";37;"ny"
"26";3123311;"2017-04-21 09:41:14";"2017-04-21 09:48:36";441;"Lexington Ave & E 63 St";"1 Ave & E 68 St";"Subscriber";"Female";55;"ny"
"27";2959550;"2017-04-17 18:27:23";"2017-04-17 18:56:33";1750;"NYCBS Depot - SSP";"Columbia St & Degraw St";"Subscriber";"Male";45;"ny"
"28";2067887;"2017-03-25 12:02:11";"2017-03-25 12:08:44";393;"W 26 St & 8 Ave";"W 38 St & 8 Ave";"Subscriber";"Female";60;"ny"
"29";3518426;"2017-04-29 23:58:44";"2017-04-30 00:02:19";215;"Great Jones St";"Mott St & Prince St";"Subscriber";"Male";34;"ny"
